House,TN,R,Marsha,Blackburn,0.642,,
House,TN,R,David,Kustoff,,,
House,TN,D,Steve,Cohen,-0.43,,
House,TX,R,Louie,Gohmert,0.601,,
House,TX,R,Ted,Poe,0.627,,
House,TX,R,Sam,Johnson,0.63,,
House,TX,R,John,Ratcliffe,,,
House,TX,R,Jeb,Hensarling,0.754,,
House,TX,R,Joe Linus,Barton,0.545,Joe,
House,TX,R,John,Culberson,0.529,,
House,TX,R,Kevin,Brady,0.542,,
House,TX,D,Al,Green,-0.407,,
House,TX,R,Michael,McCaul,0.466,,
House,TX,R,Mike,Conaway,0.624,Michael,
House,TX,R,Kay,Granger,0.419,,
House,TX,R,Mac,Thornberry,0.568,,
House,TX,R,Randy,Weber,0.828,,
House,TX,D,Vicente,Gonzalez,,,
House,TX,D,Beto,O'Rourke,-0.402,,
House,TX,R,Bill,Flores,0.624,,
House,TX,D,Sheila,Jackson Lee,-0.451,,
House,TX,R,Jodey,Arrington,,,
House,TX,D,Joaquin,Castro,-0.403,,
House,TX,R,Lamar,Smith,0.426,Lamar S.,
House,TX,R,Pete,Olson,0.56,,
House,TX,D,Will,Hurd,,,
House,TX,R,Kenny,Marchant,0.622,,
House,TX,R,Roger,Williams,0.622,,
House,TX,R,Michael,Burgess,0.581,Michael C.,
House,TX,R,Blake,Farenthold,0.551,,
House,TX,D,Henry,Cuellar,-0.216,,
House,TX,D,Gene,Green,-0.32,,
House,TX,D,Eddie Bernice,Johnson,-0.484,Eddie,
House,TX,R,John,Carter,0.501,,
House,TX,R,Pete,Sessions,0.62,,
House,TX,D,Marc,Veasey,-0.401,,
House,TX,D,Filemon,Vela,-0.312,,
House,TX,D,Lloyd,Doggett,-0.418,,
House,TX,R,Brian,Babin,,,
House,UT,R,Rob,Bishop,0.563,,
House,UT,R,Chris,Stewart,0.505,,
House,UT,R,Jason,Chaffetz,0.719,,
House,UT,R,Mia,Love,,,
House,VA,R,Robert,Wittman,0.415,Rob,
House,VA,R,Scott,Taylor,,,
House,VA,D,Bobby,Scott,-0.456,,
House,VA,D,Donald,McEachin,,,
House,VA,R,Tom,Garrett,0.61,Thomas,
House,VA,R,Bob,Goodlatte,0.508,,
House,VA,R,Dave,Brat,0.496,David,
House,VA,D,Don,Beyer,,,
House,VA,R,Morgan,Griffith,0.558,,
House,VA,R,Barbara,Comstock,,,
House,VA,D,Gerry,Connolly,-0.288,,
House,VT,D,Peter,Welch,-0.457,,
House,WA,D,Suzan,DelBene,-0.263,,
House,WA,D,Rick,Larsen,-0.37,,
House,WA,R,Jaime,Herrera Beutler,0.43,,
House,WA,R,Dan,Newhouse,,,
House,WA,R,Cathy,McMorris-Rodgers,0.454,,McMorris
House,WA,D,Derek,Kilmer,-0.282,,
House,WA,D,Pramila,Jayapal,,,
House,WA,R,Dave,Reichert,0.241,,
House,WA,D,David Adam,Smith,-0.276,Adam,
House,WA,D,Denny,Heck,-0.337,Dennis,
House,WI,R,Paul,Ryan,0.586,,
House,WI,D,Mark,Pocan,-0.698,,
House,WI,D,Ron,Kind,-0.27,,
House,WI,D,Gwen,Moore,-0.55,,
House,WI,R,James,Sensenbrenner,0.672,Jim,
House,WI,R,Glenn,Grothman,,,
House,WI,R,Sean,Duffy,0.549,,
House,WI,R,Mike,Gallagher,,,
House,WV,R,David,McKinley,0.295,,
House,WV,R,Alex,Mooney,,,
House,WV,R,Evan,Jenkins,,,
President,US,R,Donald,Trump,,,
Senate,AK,R,Lisa,Murkowski,0.192,,
Senate,AK,R,Dan,Sullivan,,,
Senate,AL,R,Jeff,Sessions,0.545,,
Senate,AL,R,Richard,Shelby,0.428,,
Senate,AR,R,John,Boozman,0.415,,
Senate,AR,R,Tom,Cotton,,,
Senate,AZ,R,Jeff,Flake,0.958,,
Senate,AZ,R,John,McCain,0.378,,
Senate,CA,D,Dianne,Feinstein,-0.279,,
Senate,CA,D,Kamala,Harris,,,
Senate,CN,D,Richard,Blumenthal,-0.417,,
Senate,CN,D,Chris,Murphy,-0.317,,
Senate,CO,D,Michael,Bennet,-0.231,,
Senate,CO,R,Cory,Gardner,,,
Senate,DE,D,Tom,Carper,-0.182,,
Senate,DE,D,Chris,Coons,-0.314,,
Senate,FL,D,Bill,Nelson,-0.196,,
Senate,FL,R,Marco,Rubio,0.579,,
Senate,GA,R,Johnny,Isakson,0.435,,
Senate,GA,R,David,Perdue,,,
Senate,HI,D,Mazie,Hirono,-0.511,,
Senate,HI,D,Brian,Schatz,-0.477,,
Senate,IA,R,Joni,Ernst,,,
Senate,IA,R,Chuck,Grassley,0.343,,
Senate,ID,R,Michael,Crapo,0.501,Mike,
Senate,ID,R,Jim,Risch,0.672,,
Senate,IL,D,Tammy,Duckworth,,,
Senate,IL,D,Richard,Durbin,-0.375,Dick,
Senate,IN,D,Joe,Donnelly,-0.125,,
Senate,IN,R,Todd,Young,,,
Senate,KS,R,Jerry,Moran,0.431,Jim,
Senate,KS,R,Pat,Roberts,0.419,,
Senate,KY,R,Mitch,McConnell,0.419,,
Senate,KY,R,Rand,Paul,0.974,,
Senate,LA,R,Bill,Cassidy,,,
Senate,LA,R,John,Neely Kennedy,,,
Senate,MA,D,Ed,Markey,,,
Senate,MA,D,Elizabeth,Warren,-0.681,,
Senate,MD,D,Ben,Cardin,-0.337,,
Senate,MD,D,Chris,Van Hollen,,,
Senate,ME,R,Susan,Collins,0.088,,
Senate,ME,D,Angus,King,-0.184,,
Senate,MI,D,Gary,Peters,,,
Senate,MI,D,Debbie,Stabenow,-0.335,,
Senate,MN,D,Al,Franken,-0.433,,
Senate,MN,D,Amy,Klobuchar,-0.254,,
Senate,MO,R,Roy,Blunt,0.453,,
Senate,MO,D,Claire,McCaskill,-0.164,,
Senate,MS,R,Thad,Cochran,0.291,,
Senate,MS,R,Roger,Wicker,0.388,,
Senate,MT,R,Steve,Daines,,,
Senate,MT,D,Jon,Tester,-0.23,,
Senate,NC,R,Richard,Burr,0.469,,
Senate,NC,R,Thom,Tillis,,,
Senate,ND,D,Heidi,Heitkamp,-0.209,,
Senate,ND,R,John,Hoeven,0.339,,
Senate,NE,R,Deb,Fischer,0.488,,
Senate,NE,R,Ben,Sasse,,,
Senate,NH,D,Maggie,Hassan,,,
Senate,NH,D,Jeanne,Shaheen,-0.294,,
Senate,NJ,D,Cory,Booker,,,
Senate,NJ,D,Bob,Menendez,-0.372,,
Senate,NM,D,Martin,Heinrich,-0.284,,
Senate,NM,D,Tom,Udall,-0.46,,
Senate,NV,D,Catherine,Cortez Masto,,,
Senate,NV,R,Dean,Heller,0.473,,
Senate,NY,D,Kirsten,Gillibrand,-0.297,,
Senate,NY,D,Charles,Schumer,-0.362,Chuck,
Senate,OH,D,Sherrod,Brown,-0.452,,
Senate,OH,R,Rob,Portman,0.388,,
Senate,OK,R,James,Inhofe,0.556,Jim,
Senate,OK,R,James,Lankford,,,
Senate,OR,D,Jeff,Merkley,-0.396,,
Senate,OR,D,Ron,Wyden,-0.324,,
Senate,PA,D,Bob,Casey,-0.308,,
Senate,PA,R,Pat,Toomey,0.656,,
Senate,RI,D,Jack,Reed,-0.401,,
Senate,RI,D,Sheldon,Whitehouse,-0.457,,
Senate,SC,R,Lindsey,Graham,0.422,,
Senate,SC,R,Tim,Scott,0.731,,
Senate,SD,R,Mike,Rounds,,,
Senate,SD,R,John,Thune,0.416,,
Senate,TN,R,Lamar,Alexander,0.324,,
Senate,TN,R,Bob,Corker,,,
Senate,TX,R,John,Cornyn,0.517,,
Senate,TX,R,Ted,Cruz,0.943,,
Senate,UT,R,Orrin,Hatch,0.388,,
Senate,UT,R,Mike,Lee,0.986,,
Senate,VA,D,Tim,Kaine,-0.26,,
Senate,VA,D,Mark,Warner,-0.222,,
Senate,VT,D,Patrick,Leahy,-0.386,,
Senate,VT,D,Bernie,Sanders,-0.523,,
Senate,WA,D,Maria,Cantwell,-0.301,,
Senate,WA,D,Patty,Murray,-0.357,,
Senate,WI,D,Tammy,Baldwin,-0.565,,
Senate,WI,R,Ron,Johnson,0.677,,
Senate,WV,R,Shelley Moore,Capito,,Shelley,
Senate,WV,D,Joe,Manchin III,-0.069,,Manchin
Senate,WY,R,John,Barrasso,0.554,,
Senate,WY,R,Michael,Enzi,0.552,Mike,
